location,name
(A-1-24)9ba,
(A-1-24)9dc,
(A-1-24)18ba,
(A-1-24)18bd,
(A-1-24)20db,
(A-1-24)21ab,
(A-1-24)23cc,
(A-1-24)26cc,Sears Spring
(A-1-24)28bd,
(A-1-24)28db,
(A-1-25)10ad,
(A-1-25)16ad,
(A-1-25)28ad,
(A-1-25)32ac,
(A-1-25)32da,
(A-2-1)17bc,Sand Point Spring
(A-2-1)17ca,Bench Spring
(A-2-1)18aa,Red Pine Spring
(A-2-1)18dc,
(A-2-1)20aa,Lower Big Tom Hollow Spring
(A-2-1)21cd,Birch Spring
(A-2-1)21db,Rat Spring
(A-2-1)21dd,Cuch Spring
(A-2-1)28aa,Murray Spring
(A-2-1)34cd,
(A-2-2)1bd,
(A-2-2)9ba,
(A-2-2)10ac,
(A-2-2)16dd,
(A-2-2)31cb,
(A-2-2)36cc,
(A-2-3)1ab,
(A-2-3)1ac,Dixie Spring
(A-2-3)1d,Tom Porter Springs
(A-2-3)12ab,
(A-2-3)13ba,
(A-2-3)13cc,
(A-2-3)21bc,
(A-2-3)27da,
(A-2-3)33dd,
(A-2-3)35aa,
(A-2-3)35cc,
(A-2-3)35d,
(A-2-4)5b,
(A-2-4)7dd,
(A-2-4)19ba,
(A-2-4)19da,
(A-2-4)20dc,
(A-2-5)4,
(A-2-5)7,
(A-2-5)9,
(A-2-5)10,
(A-2-5)11,
(A-2-5)13,
(A-2-5)14,
(A-2-5)16,
(A-2-5)21,
(A-2-5)32,
(A-2-7)3,
(A-2-7)5,

